pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,9/6/2022,93.6,2.47,"Grissom, Vaughn",line_drive,235,95.9,14,92.4,2382,0.923,0.931,4
SI,9/6/2022,93.3,2.45,"Contreras, William",line_drive,364,98.1,19,92.2,2329,0.34,0.394,4
SL,9/6/2022,81.3,2.47,"Olson, Matt",fly_ball,326,94.9,41,81.8,2671,0.023,0.029,3
FF,9/4/2022,94.5,2.89,"Heredia, Guillermo",popup,131,59.8,63,95.7,2257,0,0,3
FF,9/4/2022,94.4,2.85,"Harris II, Michael",ground_ball,17,100.6,-9,95.4,2310,0.263,0.237,2
SL,9/4/2022,87,-1.81,"Riley, Austin",ground_ball,5,87.2,-25,87.1,2607,0.074,0.07,2
SL,9/4/2022,83.9,-2.02,"Riley, Austin",ground_ball,50,74.6,2,84.2,2247,0.12,0.108,2
FF,9/4/2022,90.7,-1.5,"Acuña Jr., Ronald",line_drive,266,87,20,92,2086,0.511,0.496,4
SL,9/3/2022,85.7,3.14,"d'Arnaud, Travis",line_drive,118,68.8,11,86.3,2581,0.286,0.257,2
FF,9/3/2022,94.5,3.01,"Harris II, Michael",ground_ball,70,107.4,1,94.8,2242,0.471,0.424,4
SI,9/3/2022,90.5,2.93,"Grossman, Robbie",ground_ball,48,83.2,2,91.1,2114,0.229,0.206,2
FF,9/3/2022,93,-3.57,"Swanson, Dansby",fly_ball,309,99.1,47,92.7,2199,0.009,0.008,3
FC,9/3/2022,87.5,2.92,"Ozuna, Marcell",ground_ball,122,88.4,7,88.7,1985,0.469,0.444,4
